company,title,salary,joburl
Brooksource,Senior Data Scientist,$120K - $160K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7309da0c&cb=1672430998603&jobListingId=1007939353626&cpc=0FE1F5EA2BC84A01&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-943b0e1bd7d2ce66--6NYlbfkN0BhNN3PPgKPbTMZB0Y0J5JTZS3FnMM-ugqbblX4_m-srDJielPNCs_lvQXXEB0CV7OJ2oUtWjw6zjDoED1_oOOFyoTk7v7MEejs9IZt97-T3WN77noZRDpdskvE0hSJ0OoubSs4ivNmGckmi_nY61lbW9lOPc26km3I-2jcryFDPxsB3PlKZaytIhoIj7i_VmMZ1T3UCcmocFsDeV_rSKjyjvOdpttGyrHyMWhoJK4eKw460a2edDnEIc9Wh8YFG6E-4ryo4SDkn2NL787t-TedgN8SA6wXTzhZ_MP4INdbQzHaq1RTNUg6r3nZv8obxTem9x5jlb1W3hPbFH4Mvihqf008yXnfkYCf-vEJU_iAgXmXsSkQ0tkseHuYKxXpcQuew91hnZn8N01VklRkF3bZVwdR8rGMUJYyx5inI-iQl_h3VO2j6bjLWW8oZYkKYmZNR2Fm2QxBtISPZKA66IzCi5IyCmZpM8kTQ_dwmA9Xnf4XKHs1z5vymWP50knxRBQzGLJGlDB4mbgTfPzyJHnLJtCp3kxF_gkAyr4CIrYP5fd6owfP7ak1sT61_lEsrQ2DjNyYuTzwM-EPDTrh_BrU
North Highland,Senior Architect Data & Analytics,$105K - $139K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3a866fe6&cb=1672430998603&jobListingId=1008139388350&cpc=A0637F14311B9419&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-1df6b6f83d6a7cdf--6NYlbfkN0DPcmXB2amxZraHSmo0hoPmuCS-O4LhIRacQ6rOWPkkcbX_TTieFwWJnT8qnFj-X-ktKXpTOycekUt-kIWnjABlz_X-Oj9MY20zc9AR0cL49N5koPZwDv61QXKyzfCCPc6TgFhWh2nM-nsx5tF68-PjzYv7sEDboYwjYyXv4wyxHHoFu5-DE4XpyPhrD8SzMZuVv5kNu2l1yg4EPx7U_vJ-_JME6_tLAe5WlQVpZzNC9Tc_UKCW8HHTuK95XIQtFMEzCeg6GUUAXsQEDTffU_pR9HeJdVpvx75XJfih6-jydhYfukB0GbTIVqTZ5OCH4Hn3K6kDKeNVFZ5e_HvwodZrCSHm5GrVRXzdhw4sD6oHCjX-xCdd3dDvk03HRZ-XDOAKRsUXPwr8CUnA2o1ieewaMhDQSD5d1hpi5r61xVTMicf0aXzNN9uThh4qcqBmHIsBNFLtIxaWCwaWj7TIbYs3e1xwCNOTBZPl014rEi8ijSwUDzlBnKlRbp7QtJiStZTDR7s3NOLOM4lQFRnTIi2g5YvvGZQmhnX_fKjtkt0cROJ2p41l-Nd5x-pHChIwQIg%3D
Guidehouse,AI/ML Health Data Scientist- Consultant,$63K - $114K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_ca9ae629&cb=1672430998603&jobListingId=1008377458757&cpc=F583A5AE0DDDFE3A&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-1802c7f15a294675--6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yIOLNrL_kKa67eETZ7vK3T3sVLLE0Gr8L_9FCy1ipfXCEC7YKBvyKwxk6yo9R_AdxYzPKjrY0d2y577qX8SuvOeWQ9HuvuQletu0EO-ZbdK5cMP8lUPyJececF778XIvNLGEWjnaT4oCPOlyiSDiKj-LlJY0u93x5h6O_QbrSLbes0GR2VOEgyCgNZrrNSH5Ztb2f8i5i1XsCkNsoIGeOptAggSeXuAQK46noEJpzIA0CzWW4GAJLUy7H6vW1YiCfVdaBbTISOPR2O8HCRHPhqMJI72AR4e4JYWEek-IBFC81ZYcr0d1XToE2B4VY470-358fRpUhvHTPJh-OBNyaEWwN9noSVXaU935GME_wnFe7RWir5NDtI8GOLFQ98s1v9B5UFBpPB_UrXBQdxUpueZoOsNw6kYdboZMIFUuK6j-ySTbvDCcbUo6GqgaIdLHWjXJHDGstH4vdarU8PvzLOE%3D
"Loomis Armored US, LLC",Data Scientist,,https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1110586&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_10b20168&cb=1672430998603&jobListingId=1007821557043&cpc=9908D8D4413DBB8A&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-eb2778750634935e--6NYlbfkN0CcyRcn7eqacSoEbmFv0WWQMLVa3raAd8Xt0ljd0a5y5-4n9a-r8iucY78q-S-DT6NSVawTF7vn3GW4_RksqiK6gNqrBuTk70Azz0PzgtfpDVBg9L1WUXqeXRMydbzHCSyLQg7I6aeBG5a5ajZvOPJ3WoGKtaiXbAM-dWY1zs_7ZSY3kBSBkAvicQQRgqoLRADpxmvWL9Z-nEE35ik31JqWvb9JSxDcIdsBXVu3ewLk61-5yrq_BNqGMncMXBhukc5g4fAGAMMW1VBLexKDeXZcUSEyQTqSjesehuukQItrSH1ISAGS9DCpukD9ECJfRPgiOIpUBPgWVdwzjNKSRENMhJ-Pl3f00GnMV2cnhDDrlBTUgEL8AHMFSndgz-gjPsn_N8OJLp3E3YL9g2Wv2j4g2Ke0WYDKM7srJX9l8AAlIuDVGEGb8GVujbVvbtVLtF1hQErcUx9Lm90fydzpRvHaUYKxxtJkfc22z6zdAfGE843cYkQ_Zdt40O06zZeeCAWXOKLjlzyuYMo5IARbwoyWDcVFduqZ4HQBZcTiNsr_nU3pMXw1C73HehzP-7MPY7E9D6KDI4DoY-SiP5h0QywvNDgPG8Q3xo23xAbNoYsGmlrTtmCGZeCm
Centers for Disease Control and Prevention,Data Scientist,$100K - $129K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_2a004e9c&cb=1672430998603&jobListingId=1008349708053&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-7e86fb474943f503-
Delta,Senior Data Analyst,$74K - $105K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_787aa0d1&cb=1672430998603&jobListingId=1008068318536&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-c807cc3670e6ee47-
Primrose School Franchising Company,Jr. Data Scientist,$64K - $97K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fb811834&cb=1672430998603&jobListingId=1008296952132&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-6016a05f12103626-
I28 Technologies Corporation,Entry Level Data Scientist - 482035,$51K - $53K (Employer est.),https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_318bcf7d&cb=1672430998603&jobListingId=1008170939085&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-79de52884ab2422d-
GenSpark,Data Engineer/Data Scientist,$83K - $121K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5dffbc42&cb=1672430998604&jobListingId=1008246142222&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-3462df0c2886123d-
American Heart Association,Data Science Analyst,$65K - $91K (Glassdoor est.),https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=0000018564a7d2fcbf4a94fdd6a68d98&src=GD_JOB_AD&t=SR&vt=w&cs=1_3bceefc1&cb=1672430998604&jobListingId=1008320778060&jrtk=3-0-1gliafkpck630801-1gliafkps2go2000-fd0e79536cf83fa2-
